PERÍODO,EMPRESA,LOCALIDAD,PROVINCIA,INSUMO,"CUPO TOTAL ASIGNADO ","PRODUCCIÓN ","VENTAS TOTALES ","PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.)","PETROBRAS ARGENTINA S.A.","FOX PETROL S.A.","REFINERÍA DEL NORTE S.A.","SHELL ARGENTINA C.A.P.S.A.","YPF S.A.","ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.","OIL COMBUSTIBLES S.A.","TRAFIGURA ARGENTINA S.A.","REFI PAMPA S.A."
2012/01/01,"ALCONOA S.R.L.","EL TABACAL",SALTA,"CAÑA DE AZÚCAR",3500,"6767,9974731522425","3565,0031585596967",298,0,0,0,1366,1901,0,0,0,0
2012/01/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",300,0,"476,651926721415",0,0,0,0,0,"476,65",0,0,0,0
2012/01/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,0,"654,4030322173089",0,0,0,0,0,"654,41",0,0,0,0
2012/01/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1200,0,"1051,3455464308277","517,57","533,77",0,0,0,0,0,0,0,0
2012/01/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",4083,"4391,787744788377","4278,68603916614","503,81",0,0,0,"615,17","2645,09","104,36","410,27",0,0
2012/01/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",1400,0,"1106,9109286165508",0,0,0,0,0,"1106,91",0,0,0,0
2012/01/01,"COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.","LA FLORIDA",TUCUMÁN,"CAÑA DE AZÚCAR",3000,"3933,30385344283","3570,8022741629816",0,0,0,"519,23",0,"2567,46",0,"484,11",0,0
2012/01/01,"ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.",AGUILARES,TUCUMÁN,"CAÑA DE AZÚCAR",2090,"2202,1478205938092","1915,3506001263424","1135,82",0,0,0,518,0,0,"261,53",0,0
2012/01/01,"RÍO GRANDE ENERGÍA S.A.","LA MENDIETA",JUJUY,"CAÑA DE AZÚCAR",800,0,"771,8003790271637",0,0,0,0,"298,62","473,18",0,0,0,0
2012/02/01,"ALCONOA S.R.L.","EL TABACAL",SALTA,"CAÑA DE AZÚCAR",3500,0,"3381,9962097283637",302,0,0,0,1402,1678,0,0,0,0
2012/02/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",300,0,"290,44851547694253",0,0,0,0,0,"290,45",0,0,0,0
2012/02/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,0,"653,1648768161718",0,0,0,0,0,"653,16",0,0,0,0
2012/02/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1200,0,"958,3070120025269","706,1","252,2",0,0,0,0,0,0,0,0
2012/02/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",4083,"2512,747946936197","3739,9241945672775","505,33",0,0,0,"618,91","1955,5","141,72","518,46",0,0
2012/02/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",1400,0,"1510,600126342388",0,0,0,0,0,"1510,6",0,0,0,0
2012/02/01,"COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.","LA FLORIDA",TUCUMÁN,"CAÑA DE AZÚCAR",3000,"4061,1749842072018","3361,3013265950726",0,"108,72",0,"516,22",0,"2475,6",0,"260,76",0,0
2012/02/01,"ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.",AGUILARES,TUCUMÁN,"CAÑA DE AZÚCAR",2090,"1686,6708780795957","1917,877447883765","1176,25",0,0,0,"514,21",0,0,"227,42",0,0
2012/02/01,"RÍO GRANDE ENERGÍA S.A.","LA MENDIETA",JUJUY,"CAÑA DE AZÚCAR",800,0,"759,5198989260897",0,0,0,0,"294,3","465,22",0,0,0,0
2012/03/01,"ALCONOA S.R.L.","EL TABACAL",SALTA,"CAÑA DE AZÚCAR",3500,0,"3808,9955780164246",301,0,0,0,1688,1820,0,0,0,0
2012/03/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",300,0,"292,621604548326",0,0,0,0,0,"292,62",0,0,0,0
2012/03/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,0,"697,864813644978",0,0,0,0,0,"697,86",0,0,0,0
2012/03/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1600,0,"1668,9197725837018","907,35","761,57",0,0,0,0,0,0,0,0
2012/03/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",4083,"4730,082122552117","4214,074542008844",622,0,0,0,"804,9","2122,18","141,94","523,05",0,0
2012/03/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",1400,0,"1172,0025268477575",0,0,0,0,0,"1172,01",0,0,0,0
2012/03/01,"COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.","LA FLORIDA",TUCUMÁN,"CAÑA DE AZÚCAR",3500,"2539,6336070751736","3085,0915982312067","216,33",0,0,"490,67",0,"2155,8",0,"222,29",0,0
2012/03/01,"ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.",AGUILARES,TUCUMÁN,"CAÑA DE AZÚCAR",2090,"2150,3474415666456","2419,4693619709415","1383,45",0,0,0,"701,2",0,0,"334,82",0,0
2012/03/01,"RÍO GRANDE ENERGÍA S.A.","LA MENDIETA",JUJUY,"CAÑA DE AZÚCAR",800,0,"771,4339861023374",0,0,0,0,"294,66","476,78",0,0,0,0
2012/04/01,"ALCONOA S.R.L.","EL TABACAL",SALTA,"CAÑA DE AZÚCAR",3500,0,"3702,994314592546",302,0,0,0,1656,1745,0,0,0,0
2012/04/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",300,0,"654,2514213518637",0,0,0,0,0,"654,25",0,0,0,0
2012/04/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,0,"672,8616550852812",0,0,0,0,0,"672,86",0,0,0,0
2012/04/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1200,0,"1104,8894504106127","729,63","375,26",0,0,0,0,0,0,0,0
2012/04/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",4083,"3928,5660138976627","4165,015792798484","505,99",0,0,0,"837,98","2122,58","69,91","628,55",0,0
2012/04/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",1400,0,"1147,9469361970941",0,0,0,0,0,"1147,95",0,0,0,0
